"","Week","X14.00","X15.00","X16.00","X16.1.iso.17.0","cis.9.16.1","X17.00","X17.1.16.2","X18.00","cis.9.18.1","cis.11.18.1","X18.2n.6","X20.00","X18.3n.3","X20.01","X18.4n.3","X20.3n.6","X22.00","X20.4n.6","X20.4n.3","X20.5n.3","X24.01.00","X22.5n.6","X22.5n.3","X22.6n.3","Week"
"1",11,2.825,0.49475,23.78975,0.597,4.23475,0.52675,0.382,6.05325,17.04975,4.08025,0.92625,0.195,0.69725,1.198,0.29225,0.1485,0.1255,2.53475,2.8985,6.8655,1.951,0.441,3.13925,18.06075,11
"2",12,2.68209090909091,0.531454545454546,24.0263636363636,0.602,4.16518181818182,0.548272727272727,0.378545454545455,6.36827272727273,17.2434545454545,3.99418181818182,0.887545454545455,0.199545454545455,0.534727272727273,1.27063636363636,0.205636363636364,0.161181818181818,0.0948181818181818,2.81581818181818,2.38345454545455,6.68709090909091,2.40263636363636,0.434090909090909,3.35809090909091,17.4578181818182,12
"3",13,3.1588,0.5514,24.3308,0.6052,4.516,0.5268,0.4358,5.6534,17.4176,4.1726,0.9276,0.1884,0.6896,1.444,0.293,0.1438,0.072,2.2534,2.8994,6.4876,1.9892,0.3854,3.4526,16.7706,13
"4",14,2.69009090909091,0.503636363636364,23.9063636363636,0.603090909090909,4.25927272727273,0.558818181818182,0.428545454545455,6.38945454545455,16.764,4.15772727272727,0.884090909090909,0.216090909090909,0.568090909090909,1.31018181818182,0.232545454545455,0.156545454545455,0.0999090909090909,2.83881818181818,2.51827272727273,6.84490909090909,2.25154545454545,0.441909090909091,3.311,17.6304545454545,14
"5",15,2.036,0.427857142857143,22.6265714285714,0.531142857142857,3.34457142857143,0.542285714285714,0.410857142857143,6.74742857142857,15.3407142857143,6.02285714285714,0.798428571428571,0.206142857142857,0.455,1.17957142857143,0.155285714285714,0.173142857142857,0.103285714285714,3.323,2.364,6.89742857142857,2.45028571428571,0.445714285714286,3.45528571428571,19.6557142857143,15
"6",16,2.09509090909091,0.470636363636364,23.0899090909091,0.563090909090909,3.42963636363636,0.582363636363636,0.378818181818182,7.16890909090909,15.4669090909091,3.87209090909091,0.835909090909091,0.268909090909091,0.440363636363636,1.21263636363636,0.166,0.171818181818182,0.136181818181818,3.65536363636364,2.20581818181818,7.17081818181818,2.57063636363636,0.496454545454545,3.39136363636364,19.5407272727273,16
"7",17,1.42783333333333,0.470833333333333,22.0506666666667,0.559666666666667,3.0615,0.74,0.362166666666667,8.00883333333333,14.0005,3.7635,0.895333333333333,0.303166666666667,0.512333333333333,1.12466666666667,0.141333333333333,0.161166666666667,0.147833333333333,4.776,1.6655,7.54716666666667,3.18833333333333,0.640833333333333,3.10033333333333,20.7406666666667,17
"8",18,1.606625,0.442,22.15225,0.638,3.143875,0.676,0.3705,7.888,14.20025,3.998375,0.874,0.28,0.4135,0.937125,0.15625,0.19025,0.149625,4.098875,1.8755,8.143375,3.042375,0.536875,3.3425,20.36675,18
"9",19,1.63342857142857,0.425142857142857,21.5488571428571,0.641857142857143,3.65042857142857,0.707142857142857,0.395142857142857,8.12214285714286,13.7141428571429,4.29171428571429,1,0.298,0.411714285714286,1.03642857142857,0.164571428571429,0.205857142857143,0.143285714285714,3.58357142857143,1.82771428571429,9.45728571428571,2.84971428571429,0.483857142857143,3.50328571428571,19.2232857142857,19
"10",20,1.67708333333333,0.468333333333333,20.13475,0.91375,4.05066666666667,0.943916666666667,0.489416666666667,8.8155,9.3135,5.30825,1.00525,0.289583333333333,0.36375,0.489583333333333,0.131583333333333,0.257166666666667,0.19825,4.40091666666667,0.97175,11.422,3.29758333333333,0.571916666666667,4.4495,18.9668333333333,20
"11",21,1.38533333333333,0.479666666666667,19.8595833333333,1.14475,3.09766666666667,1.0915,0.437166666666667,9.10833333333333,10.3891666666667,5.94325,0.819,0.27575,0.236916666666667,0.623416666666667,0.10275,0.196333333333333,0.1735,4.66075,0.91225,11.1351666666667,3.19075,0.583,4.58483333333333,18.28525,21
