"","Week","X14.00","X15.00","X16.00","X16.1.iso.17.0","cis.9.16.1","X17.00","X17.1.16.2","X18.00","cis.9.18.1","cis.11.18.1","X18.2n.6","X20.00","X18.3n.3","X20.01","X18.4n.3","X20.3n.6","X22.00","X20.4n.6","X20.4n.3","X20.5n.3","X24.01.00","X22.5n.6","X22.5n.3","X22.6n.3"
"1",11,2.378,0.3905,17.9635,0.46175,3.32125,0.40525,0.31125,4.30725,13.0645,3.134,0.721,0.1345,0.552,0.98525,0.23225,0.109,0.06775,1.71625,2.29525,4.8645,1.39575,0.324,2.38125,13.16175
"2",12,2.17272727272727,0.43,19.233,0.475090909090909,3.34090909090909,0.433818181818182,0.309909090909091,5.03018181818182,13.6723636363636,3.23445454545455,0.715272727272727,0.152909090909091,0.434363636363636,1.03972727272727,0.174272727272727,0.13,0.073,2.19072727272727,1.94954545454545,5.44936363636364,1.86009090909091,0.351181818181818,2.72927272727273,14.0795454545455
"3",13,2.5506,0.4384,19.3286,0.4818,3.626,0.4182,0.3476,4.4684,13.8686,3.2976,0.745,0.1494,0.5536,1.1504,0.2394,0.1162,0.055,1.769,2.341,5.1802,1.5448,0.3034,2.7268,13.3232
"4",14,2.20345454545455,0.406818181818182,18.9290909090909,0.489181818181818,3.42636363636364,0.440454545454545,0.346272727272727,4.97836363636364,13.3312727272727,3.32281818181818,0.707727272727273,0.166454545454545,0.465363636363636,1.03545454545455,0.191636363636364,0.124636363636364,0.076,2.17418181818182,2.01236363636364,5.30481818181818,1.73181818181818,0.343,2.59063636363636,13.6382727272727
"5",15,2.10857142857143,0.440285714285714,22.2681428571429,0.507857142857143,3.419,0.547,0.420571428571429,6.56685714285714,14.8578571428571,5.56,0.777571428571429,0.204857142857143,0.442714285714286,1.13342857142857,0.147428571428571,0.186,0.113428571428571,3.25528571428571,2.28171428571429,6.80057142857143,2.29114285714286,0.458285714285714,3.47585714285714,19.0088571428571
"6",16,1.444,0.322636363636364,15.0456363636364,0.378636363636364,2.31309090909091,0.391090909090909,0.265090909090909,4.61827272727273,10.2264545454545,2.53781818181818,0.551818181818182,0.171090909090909,0.291909090909091,0.818727272727273,0.113363636363636,0.118363636363636,0.0877272727272727,2.34745454545455,1.45872727272727,4.59772727272727,1.61918181818182,0.339545454545455,2.19618181818182,12.3593636363636
"7",17,0.703,0.233,10.8278333333333,0.275166666666667,1.49683333333333,0.356166666666667,0.171,3.871,6.89333333333333,1.87066666666667,0.4385,0.142166666666667,0.255333333333333,0.535333333333333,0.0701666666666667,0.0798333333333333,0.0715,2.2525,0.8355,3.70083333333333,1.53783333333333,0.310166666666667,1.534,10.1105
"8",18,0.597625,0.166875,8.3915,0.235375,1.17425,0.255625,0.142875,2.983125,5.332,1.505,0.326,0.1065,0.153875,0.353375,0.058375,0.069,0.058125,1.539125,0.690625,3.0875,1.1465,0.20725,1.2525,7.779
"9",19,1.08085714285714,0.265571428571429,12.5365714285714,0.381,2.21214285714286,0.430571428571429,0.237,4.62957142857143,8.27542857142857,2.67142857142857,0.612,0.158571428571429,0.249428571428571,0.656428571428571,0.109714285714286,0.120142857142857,0.0785714285714286,2.07042857142857,1.174,5.33814285714286,1.62242857142857,0.272142857142857,2.083,11.1021428571429
"10",20,0.756083333333333,0.219166666666667,9.00866666666667,0.432083333333333,1.75916666666667,0.431166666666667,0.2295,3.90875,4.19408333333333,2.40083333333333,0.4405,0.126666666666667,0.1625,0.233166666666667,0.06275,0.109916666666667,0.08675,1.97241666666667,0.424666666666667,5.05425,1.50341666666667,0.269916666666667,2.00841666666667,8.40641666666667
"11",21,0.77225,0.268416666666667,10.4980833333333,0.694833333333333,1.67825,0.623833333333333,0.23925,4.94608333333333,5.48033333333333,3.50341666666667,0.44825,0.14575,0.125416666666667,0.34,0.05525,0.111833333333333,0.0966666666666667,2.561,0.501166666666667,6.41441666666667,1.68058333333333,0.318083333333333,2.65566666666667,9.78025
